condition,ssl_epochs,label_fraction,n_train,n_seeds,test_acc_mean,test_acc_std,macro_f1_mean,macro_f1_std,macro_auc_mean
scratch,,0.01,13,3,65.29,5.64,0.6412,0.0579,0.9125
scratch,,0.05,63,3,63.96,22.03,0.5843,0.3137,0.9258
scratch,,0.1,124,3,84.71,3.51,0.8376,0.0475,0.9666
scratch,,0.25,312,3,87.6,4.2,0.8748,0.0436,0.9728
scratch,,1.0,1250,3,92.93,0.87,0.9298,0.0089,0.9916
scratch-linear,,0.01,13,3,46.89,5.75,0.3345,0.0917,0.8372
scratch-linear,,0.05,63,3,69.24,6.22,0.655,0.0848,0.9165
scratch-linear,,0.1,124,3,73.29,4.66,0.7056,0.0708,0.938
scratch-linear,,0.25,312,3,81.29,1.54,0.8099,0.0143,0.9478
scratch-linear,,1.0,1250,3,84.18,0.67,0.8399,0.0069,0.9588
ssl-finetune,15,0.01,13,3,51.24,8.52,0.4829,0.0909,0.8696
ssl-finetune,15,0.05,63,3,74.04,1.68,0.7312,0.0199,0.9384
ssl-finetune,15,0.1,124,3,81.78,2.34,0.8156,0.0239,0.9546
ssl-finetune,15,0.25,312,3,86.89,0.54,0.8684,0.0054,0.9758
ssl-finetune,15,1.0,1250,3,93.38,0.85,0.9334,0.0083,0.9924
ssl-finetune,100,0.01,13,3,56.98,4.36,0.5409,0.0561,0.8806
ssl-finetune,100,0.05,63,3,81.64,1.89,0.8148,0.0194,0.954
ssl-finetune,100,0.1,124,3,83.87,1.83,0.8363,0.019,0.956
ssl-finetune,100,0.25,312,3,88.62,1.46,0.8843,0.0163,0.9779
ssl-finetune,100,1.0,1250,3,93.11,0.38,0.9305,0.0047,0.9915
ssl-linear,15,0.01,13,3,45.07,6.94,0.3555,0.076,0.8379
ssl-linear,15,0.05,63,3,64.22,2.7,0.6297,0.0334,0.9001
ssl-linear,15,0.1,124,3,66.53,0.81,0.6547,0.0113,0.9108
ssl-linear,15,0.25,312,3,71.33,1.67,0.7107,0.0161,0.9234
ssl-linear,15,1.0,1250,3,73.69,2.5,0.7348,0.0254,0.936
ssl-linear,100,0.01,13,3,45.78,6.05,0.361,0.0665,0.8141
ssl-linear,100,0.05,63,3,66.49,2.46,0.6576,0.0264,0.9
ssl-linear,100,0.1,124,3,67.56,2.0,0.6668,0.0199,0.9087
ssl-linear,100,0.25,312,3,71.11,1.95,0.7087,0.0197,0.9195
ssl-linear,100,1.0,1250,3,74.09,0.54,0.7386,0.0049,0.9341
